what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1319527551698
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.300.v200811200330,"org.eclipse.wst.common.emfworkbench.integration",1319527551884
started,bundle,org.eclipse.wst.common.modulecore,1.1.300.v200904132230,"org.eclipse.wst.common.modulecore",1319527551896
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1319527551961
started,bundle,org.eclipse.jst.j2ee,1.1.300.v200905290632,"org.eclipse.jst.j2ee",1319527552043
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527570705
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527570717
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527571877
activated,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527578535
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527586936
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527605818
activated,view,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.views.FlashExplorer",1319527607685
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527611372
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527612805
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527618508
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527619636
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1319527619643
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527620761
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1319527622756
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1319527622987
closed,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527623608
closed,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527623698
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527623732
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1319527623769
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527628792
