what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527770569
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527817415
activated,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527817426
activated,view,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.views.FlashExplorer",1319527821441
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527826661
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527826690
activated,editor,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.editor.ASEditor",1319527832516
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527835336
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527835339
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527835476
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527917756
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527923603
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527930841
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527932864
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527932957
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527933259
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527935874
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319527935955
